calories,protein,carbs,fat,fiber,sugar,sodium,cholesterol,water,cat_encoded,meal_encoded,name,category,meal_type,label_loss,label_balance,label_gain
180,6.0,28.0,5.0,3.0,8.0,120,15,200,8,0,Овсяная каша,Grain/Dairy,Breakfast,1,1,0
192,4.1,26.7,4.1,3.2,8.4,139,7,200,8,0,Овсяная каша на молоке,Grain/Dairy,Breakfast,1,1,0
190,4.1,25.6,4.2,3.1,8.1,161,25,200,8,0,Овсяная каша на воде,Grain/Dairy,Breakfast,1,1,0
195,5.7,27.7,4.4,3.4,8.5,90,18,200,8,0,Овсяная каша с маслом,Grain/Dairy,Breakfast,1,1,0
177,4.6,30.7,4.7,2.6,7.2,114,24,200,8,0,Овсяная каша с ягодами,Grain/Dairy,Breakfast,1,1,0
173,4.2,27.8,3.6,3.4,7.2,107,25,200,8,0,Овсяная каша диетическая,Grain/Dairy,Breakfast,1,1,0
191,7.4,28.5,6.5,2.5,7.5,107,7,200,8,0,Овсяная каша с медом,Grain/Dairy,Breakfast,1,1,0
220,7.0,38.0,6.0,4.0,2.0,10,0,250,7,0,Гречневая каша,Grain,Breakfast,1,1,0
243,8.5,37.3,6.3,4.3,1.3,5,0,250,7,0,Гречневая каша рассыпчатая,Grain,Breakfast,0,1,0
234,7.8,39.1,4.4,4.1,2.1,0,0,250,7,0,Гречневая каша с маслом,Grain,Breakfast,0,1,0
223,6.1,40.6,7.4,3.7,1.6,58,0,250,7,0,Гречневая каша с молоком,Grain,Breakfast,1,1,0
211,5.1,36.9,5.3,3.7,2.9,51,0,250,7,0,Гречневая каша диетическая,Grain,Breakfast,1,1,0
211,7.0,40.3,7.2,3.6,1.3,55,7,250,7,0,Гречневая каша с грибами,Grain,Breakfast,1,1,0
145,25.0,4.0,4.0,0.0,4.0,60,20,150,3,0,Творог 5%,Dairy,Breakfast,1,0,0
152,26.0,3.6,4.9,0.0,5.0,27,26,150,3,0,Творог 5% зернистый,Dairy,Breakfast,1,0,0
150,26.0,6.2,2.8,0.0,4.4,86,12,150,3,0,Творог 5% мягкий,Dairy,Breakfast,1,0,0
144,25.4,3.8,3.3,0.1,4.9,97,13,150,3,0,Творог 5% с медом,Dairy,Breakfast,1,0,0
159,25.1,2.6,5.2,0.0,3.9,68,10,150,3,0,Творог 5% обезжиренный,Dairy,Breakfast,1,0,0
173,26.5,2.6,4.5,0.0,4.8,90,19,150,3,0,Творог 5% со сметаной,Dairy,Breakfast,1,1,0
260,12.0,30.0,10.0,1.5,12.0,200,35,100,5,0,Сырники домашние,Dairy/Grain,Breakfast,0,1,0
282,12.0,28.2,9.9,1.2,12.9,217,25,100,5,0,Сырники домашние запеченные,Dairy/Grain,Breakfast,0,1,0
270,12.0,27.7,9.8,2.0,12.6,180,26,100,5,0,Сырники домашние жареные,Dairy/Grain,Breakfast,0,1,0
252,12.3,27.5,11.7,1.8,13.0,218,29,100,5,0,Сырники домашние со сметаной,Dairy/Grain,Breakfast,0,1,0
246,11.9,30.3,9.3,1.9,11.8,177,42,100,5,0,Сырники домашние диетические,Dairy/Grain,Breakfast,0,1,0
278,12.8,31.3,10.0,1.7,11.7,216,39,100,5,0,Сырники домашние с изюмом,Dairy/Grain,Breakfast,0,1,0
320,8.0,45.0,12.0,2.0,15.0,280,40,100,8,0,Блинчики тонкие,Grain/Dairy,Breakfast,0,0,0
306,6.9,44.0,12.9,1.7,14.4,239,50,100,8,0,Блинчики тонкие с творогом,Grain/Dairy,Breakfast,0,0,0
303,6.3,42.2,11.7,2.0,14.6,292,36,100,8,0,Блинчики тонкие с мясом,Grain/Dairy,Breakfast,0,0,0
327,8.9,47.3,12.9,1.7,14.9,282,36,100,8,0,Блинчики тонкие со сметаной,Grain/Dairy,Breakfast,0,0,0
305,8.6,44.1,12.1,2.4,14.1,313,50,100,8,0,Блинчики тонкие с вареньем,Grain/Dairy,Breakfast,0,0,0
305,7.6,44.0,14.3,1.7,14.4,287,34,100,8,0,Блинчики тонкие с икрой,Grain/Dairy,Breakfast,0,0,0
280,18.0,2.0,22.0,0.0,1.0,300,370,50,21,0,Яичница из 2 яиц,Protein,Breakfast,0,1,1
281,17.1,0.5,24.6,0.0,1.7,320,363,50,21,0,Яичница из 2 яиц глазунья,Protein,Breakfast,0,1,1
263,20.0,4.0,24.8,0.4,1.7,271,373,50,21,0,Яичница из 2 яиц болтунья,Protein,Breakfast,0,1,1
284,16.9,1.4,20.3,0.0,2.0,283,374,50,21,0,Яичница из 2 яиц с помидорами,Protein,Breakfast,0,1,0
274,18.8,3.4,23.9,0.2,1.0,274,369,50,21,0,Яичница из 2 яиц с сыром,Protein,Breakfast,0,1,1
271,16.2,3.4,20.3,0.0,0.1,311,376,50,21,0,Яичница из 2 яиц с беконом,Protein,Breakfast,0,1,0
240,14.0,32.0,6.0,1.0,10.0,180,30,150,5,0,Ленивые вареники,Dairy/Grain,Breakfast,0,1,0
266,14.1,29.3,6.5,1.4,9.1,138,27,150,5,0,Ленивые вареники классические,Dairy/Grain,Breakfast,0,1,0
240,15.8,32.4,6.9,0.5,9.2,214,38,150,5,0,Ленивые вареники со сметаной,Dairy/Grain,Breakfast,0,1,0
248,13.3,30.6,7.3,0.8,9.5,146,40,150,5,0,Ленивые вареники с вишней,Dairy/Grain,Breakfast,0,1,0
235,13.3,33.5,4.4,1.0,11.0,142,22,150,5,0,Ленивые вареники диетические,Dairy/Grain,Breakfast,0,1,0
190,5.0,35.0,4.0,3.0,12.0,50,0,200,11,0,Пшенная каша,Grain/Vegetable,Breakfast,0,1,0
197,5.0,32.8,3.7,2.6,11.5,36,0,200,11,0,Пшенная каша с тыквой,Grain/Vegetable,Breakfast,0,1,0
192,5.2,33.8,6.9,3.3,12.1,85,7,200,11,0,Пшенная каша на молоке,Grain/Vegetable,Breakfast,0,1,0
185,5.7,37.6,2.7,2.6,11.2,70,0,200,11,0,Пшенная каша рассыпчатая,Grain/Vegetable,Breakfast,0,1,0
184,5.4,36.3,3.0,3.1,11.5,62,0,200,11,0,Пшенная каша с курагой,Grain/Vegetable,Breakfast,0,1,0
170,5.0,30.0,4.0,1.0,15.0,100,15,200,8,0,Манная каша,Grain/Dairy,Breakfast,0,1,0
195,6.4,27.6,4.1,0.8,14.0,148,9,200,8,0,Манная каша на молоке,Grain/Dairy,Breakfast,0,1,0
182,4.0,31.4,4.8,0.9,14.0,59,9,200,8,0,Манная каша без комочков,Grain/Dairy,Breakfast,0,1,0
177,6.3,30.5,2.7,0.6,14.6,55,16,200,8,0,Манная каша с вареньем,Grain/Dairy,Breakfast,0,1,0
161,4.0,27.6,5.9,1.4,14.8,129,9,200,8,0,Манная каша с какао,Grain/Dairy,Breakfast,0,1,0
290,6.0,35.0,14.0,3.0,2.0,400,20,100,22,0,Драники картофельные,Vegetable/Grain,Breakfast,0,1,0
316,4.9,33.0,16.0,2.7,1.8,372,20,100,22,0,Драники картофельные классические,Vegetable/Grain,Breakfast,0,0,0
309,5.6,36.0,15.7,2.7,1.3,439,13,100,22,0,Драники картофельные со сметаной,Vegetable/Grain,Breakfast,0,0,0
289,4.2,34.8,13.0,3.4,1.7,379,17,100,22,0,Драники картофельные с грибами,Vegetable/Grain,Breakfast,0,1,0
271,4.8,34.0,16.3,3.5,1.6,432,26,100,22,0,Драники картофельные с мясом,Vegetable/Grain,Breakfast,0,1,0
160,5.0,32.0,3.0,0.5,14.0,90,10,200,8,0,Рисовая каша,Grain/Dairy,Breakfast,0,0,0
160,6.9,32.2,5.7,0.1,14.9,62,18,200,8,0,Рисовая каша молочная,Grain/Dairy,Breakfast,0,0,0
188,4.1,29.7,3.2,0.7,13.6,117,16,200,8,0,Рисовая каша с тыквой,Grain/Dairy,Breakfast,0,1,0
146,6.6,30.1,1.2,0.4,14.0,108,6,200,8,0,Рисовая каша рассыпчатая,Grain/Dairy,Breakfast,0,0,0
158,3.3,33.0,2.7,0.3,14.7,132,9,200,8,0,Рисовая каша с изюмом,Grain/Dairy,Breakfast,0,0,0
150,4.0,30.0,2.0,2.0,10.0,40,0,200,7,0,Кукурузная каша,Grain,Breakfast,1,0,0
155,4.7,29.0,3.5,2.1,9.4,75,2,200,7,0,Кукурузная каша на молоке,Grain,Breakfast,1,0,0
164,5.6,30.7,1.5,2.0,9.0,26,0,200,7,0,Кукурузная каша с сыром,Grain,Breakfast,1,1,0
151,4.3,30.9,2.3,1.9,9.4,50,0,200,7,0,Кукурузная каша рассыпчатая,Grain,Breakfast,1,0,0
140,5.0,28.0,1.5,3.0,1.0,30,0,250,7,0,Перловая каша,Grain,Breakfast,1,0,0
153,4.1,29.0,2.6,2.6,1.9,10,0,250,7,0,Перловая каша рассыпчатая,Grain,Breakfast,1,0,0
131,3.8,25.1,0.7,3.0,1.7,0,4,250,7,0,Перловая каша с грибами,Grain,Breakfast,1,0,0
141,5.5,26.2,3.0,3.0,0.5,63,0,250,7,0,Перловая каша с луком,Grain,Breakfast,1,0,0
165,6.4,30.3,3.4,2.7,1.6,69,6,250,7,0,Перловая каша по-купечески,Grain,Breakfast,1,1,0
310,14.0,22.0,18.0,6.0,2.0,350,190,200,10,0,Тост с авокадо,Grain/Protein,Breakfast,0,0,0
313,14.2,24.5,16.6,5.6,1.9,367,197,200,10,0,Тост с авокадо с яйцом пашот,Grain/Protein,Breakfast,0,0,0
320,15.8,24.3,19.1,6.2,2.0,370,194,200,10,0,Тост с авокадо с лососем,Grain/Protein,Breakfast,0,0,0
335,15.0,21.8,17.3,5.7,2.3,398,196,200,10,0,Тост с авокадо с томатами,Grain/Protein,Breakfast,0,0,0
314,13.0,21.6,19.6,5.7,1.7,369,182,200,10,0,Тост с авокадо классический,Grain/Protein,Breakfast,0,0,0
210,6.0,38.0,4.0,4.0,18.0,30,0,200,9,0,Геркулес с ягодами,Grain/Fruit,Breakfast,0,1,0
197,4.9,39.2,5.5,3.6,17.8,49,4,200,9,0,Геркулес с ягодами с малиной,Grain/Fruit,Breakfast,0,1,0
211,4.8,37.5,6.5,4.1,18.4,77,8,200,9,0,Геркулес с ягодами с черникой,Grain/Fruit,Breakfast,0,1,0
209,4.0,37.1,5.8,4.4,18.9,33,7,200,9,0,Геркулес с ягодами с клубникой,Grain/Fruit,Breakfast,0,1,0
227,6.2,38.6,3.1,3.7,17.9,0,2,200,9,0,Геркулес с ягодами с бананом,Grain/Fruit,Breakfast,0,1,0
100,6.0,8.0,5.0,0.0,8.0,90,10,250,1,0,Кефир 2.5%,Beverage/Dairy,Breakfast,1,0,0
97,6.7,7.4,3.8,0.0,7.3,119,17,250,1,0,Кефир 2.5% обычный,Beverage/Dairy,Breakfast,1,0,0
81,5.6,8.4,3.1,0.1,7.3,99,5,250,1,0,Кефир 2.5% с отрубями,Beverage/Dairy,Breakfast,1,0,0
83,5.5,6.3,4.6,0.3,7.8,136,13,250,1,0,Кефир 2.5% био,Beverage/Dairy,Breakfast,1,0,0
120,6.0,8.0,7.0,0.0,8.0,80,15,250,1,0,Ряженка 4%,Beverage/Dairy,Breakfast,1,0,0
113,4.3,5.1,7.7,0.5,7.7,113,7,250,1,0,Ряженка 4% обычная,Beverage/Dairy,Breakfast,1,0,0
139,6.6,9.5,9.7,0.0,7.0,49,12,250,1,0,Ряженка 4% топленая,Beverage/Dairy,Breakfast,1,0,0
106,6.7,8.4,6.1,0.2,8.5,51,24,250,1,0,Ряженка 4% с корицей,Beverage/Dairy,Breakfast,1,0,0
200,14.0,3.0,15.0,0.0,1.0,250,300,100,21,0,Омлет паровой,Protein,Breakfast,1,1,0
210,15.0,0.7,17.1,0.5,0.2,203,299,100,21,0,Омлет паровой с молоком,Protein,Breakfast,1,1,0
209,15.6,2.3,17.7,0.0,1.2,280,297,100,21,0,Омлет паровой с брокколи,Protein,Breakfast,1,1,0
